trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
229,False,"{'a': 0.5, 'e': 0.10126646185388341}",30,0,29.44186980378796,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
230,False,"{'a': 0.5, 'e': 0.10025884372280372}",20,9,8.338341676772735,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.09926125155964566}",20,7,20.502117744310844,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.09827358560436156}",20,0,29.444402744899126,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
233,False,"{'a': 0.5, 'e': 0.09729574708953277}",30,16,25.99049929405292,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.09632763823049305}",20,6,-30.206613633766043,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
235,False,"{'a': 0.5, 'e': 0.09536916221554963}",25,13,20.96228189677996,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.09442022319630236}",20,16,7.727595974471344,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.09348072627805848}",20,6,24.678828967075123,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.09255057751034329}",20,12,7.915276104728814,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.09162968387750485}",20,3,22.480460586728086,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.09071795328941253}",20,14,8.487954042380508,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.08981529457224764}",20,13,7.343541444878291,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.08892161745938636}",20,3,18.043144892476683,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.08803683258237256}",25,9,26.843563118969918,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.5, 'e': 0.08716085146198131}",20,12,12.602981039268348,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.08629358649937051}",20,16,6.560588429953267,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.08543495096732125}",25,20,11.125164882706155,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.0845848590015647}",20,0,15.002234577335006,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
248,False,"{'a': 0.5, 'e': 0.08374322559219598}",20,13,9.07721588941857,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.08290996657517267}",30,3,39.1168234116177,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
250,False,"{'a': 0.5, 'e': 0.08208499862389881}",20,0,8.726849325090075,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
251,False,"{'a': 0.5, 'e': 0.08126823924089169}",20,16,6.169320726212632,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
252,False,"{'a': 0.5, 'e': 0.08045960674953244}",25,18,15.362375208187924,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.5, 'e': 0.07965902028589801}",30,17,21.170765489714526,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.07886639979067496}",35,26,14.86922511258516,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.07808166600115314}",30,10,25.14773199899371,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
256,False,"{'a': 0.5, 'e': 0.07730474044329975}",20,8,24.034367271462997,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.5, 'e': 0.07653554542391153}",20,16,6.302156955463698,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
258,False,"{'a': 0.5, 'e': 0.07577400402284548}",25,8,27.19334465165142,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
259,False,"{'a': 0.5, 'e': 0.07502004008532698}",20,12,17.747385282329628,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.07427357821433388}",20,8,9.282091661567431,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.07353454376305711}",30,15,26.287983845306492,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.0728028628274356}",25,12,19.698882056282493,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
263,False,"{'a': 0.5, 'e': 0.07207846223876611}",20,12,14.872554488191488,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.07136126955638607}",25,0,33.83615621527532,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
265,False,"{'a': 0.5, 'e': 0.0706512130604296}",25,7,-14.81687117481914,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
266,False,"{'a': 0.5, 'e': 0.06994822174465537}",25,8,28.289648645802234,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.069252225309346}",25,7,-7.978344599866606,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
268,False,"{'a': 0.5, 'e': 0.06856315415427792}",25,0,37.38964174743123,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
269,False,"{'a': 0.5, 'e': 0.06788093937176144}",20,7,11.111170415197762,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.06720551273974976}",20,16,7.632233866604424,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.06653680671501687}",25,18,13.4701347883301,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.06587475442640296}",25,14,17.841750260011388,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.06521928966812754}",25,12,22.69316842657612,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.06457034689316848}",20,14,11.725995800669223,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
